FABRICANTE;MODELO;SKU MODELO EQUIPOS;CANTIDAD
LENOVO;20XGS0GF00;ThinkPad T14s Gen 2a;1396
LENOVO;20UHS0JF00;ThinkPad T14s Gen 1;1187
Dell Inc.;Latitude 7400;;873
LENOVO;21CRS25E00;ThinkPad T14s Gen 3;606
LENOVO;20XGS1FY00;ThinkPad T14s Gen 2a;460
Dell Inc.;Latitude 7410;;345
VMware, Inc.;VMware7,1;None;234
LENOVO;20YTS1FQ00;ThinkPad T15g Gen 2i;201
LENOVO;20USS0V700;ThinkPad T15g Gen 1;185
Dell Inc.;Latitude 7490;;113
LENOVO;21K4S36W00;ThinkPad T14 Gen 4;109
LENOVO;20YTS09K00;ThinkPad T15g Gen 2i;97
VMware, Inc.;VMware Virtual Platform;None;76
LENOVO;20YTS1EF00;ThinkPad T15g Gen 2i;71
Dell Inc.;Precision 7540;;70
LENOVO;21C2S1DS00;ThinkPad L14 Gen 3;60
LENOVO;20UVS33700;ThinkPad X12 Detachable Gen 1;48
LENOVO;21FDS07B00;ThinkPad P16v Gen 1;46
LENOVO;20YTS17E00;ThinkPad T15g Gen 2i;46
LENOVO;20YTS19J00;ThinkPad T15g Gen 2i;31
Dell Inc.;Precision 7550;;19
Dell Inc.;Vostro 5391;;9
LENOVO;21JU000CLM;ThinkPad E16 Gen 1;8
LENOVO;20XGS0GF00;ThinkPad X13 Gen 2;5
Dell Inc.;Precision 7530;;4
LENOVO;20UHS0JF00;ThinkPad;3
LENOVO;21HM0064SP;ThinkPad X1 Carbon Gen 11;3
LENOVO;30ATS0V900;ThinkStation P310;2
LENOVO;20LCS26C00;ThinkPad P52s;2
LENOVO;20ASA0BMSP;ThinkPad L440;2
LENOVO;20ASS2XJ00;ThinkPad L440;2
LENOVO;20XGS0GF00;ThinkPad;2
LENOVO;20XGS1FY00;ThinkPad X13 Gen 2;2
LENOVO;21HL000YLM;ThinkPad P16s Gen 2;1
LENOVO;20XGS0GF00;ThinkPad T14s Gen 2;1
LENOVO;20UW0006SP;ThinkPad X12 Detachable Gen 1;1
LENOVO;20UHS0JJ00;ThinkPad T14s Gen 1;1
LENOVO;20UN002GSP;ThinkPad X1 Nano Gen 1;1
LENOVO;20E2000CSP;ThinkPad W550s;1
LENOVO;20FVS2B901;ThinkPad L460;1
LENOVO;20HH0015SP;ThinkPad P51;1
LENOVO;20LCS1P800;ThinkPad P52s;1
LENOVO;20UHS0JF00;ThinkPad T14s;1
FUJITSU;PRIMERGY RX300 S7;GS01;1
LENOVO;10A8A0DCSP;ThinkCentre M93p;1
Dell Inc.;Vostro 3501;;1
Dell Inc.;Precision 5820 Tower X-Series;;1
LENOVO;30BAS05400;ThinkStation P720;1
LENOVO;30BGS1W900;ThinkStation P320;1
LENOVO;30BXS0FB00;Lenovo Product;1
Lenovo;ThinkSystem SR630 V2;;1
Microsoft Corporation;Surface Pro 7;;1
Microsoft Corporation;Virtual Machine;Hyper-V UEFI Release v4.0;1
LENOVO;30A5S04B00;ThinkStation P900;1
LENOVO;30AGA13DSP;ThinkStation P300;1
LENOVO;30AGS0XJ00;ThinkStation P300;1
;;;
;;SUMA TOTAL EQUIPOS;
;;;6340
